src,dst
237140311.0,7.551274957756252e+17
2611066880.0,193589482.0
1578095880.0,3400552306.0
1364870234.0,46684860.0
2197834202.0,3740732783.0
1265464230.0,2265799817.0
2202241436.0,4866566489.0
24544802.0,143550623.0
48704175.0,207425342.0
48704175.0,207425342.0
48704175.0,4418684392.0
3682560615.0,7.461340433186406e+17
2841714842.0,4826927664.0
49790780.0,77248123.0
2219871019.0,765213068.0
24544802.0,7.980379910506701e+17
4265299414.0,4866566489.0
8.833342309686845e+17,7.972980839146086e+17
8.239612649886188e+17,8.990013149858775e+17
71613350.0,87562484.0
2197834202.0,8.881081833396716e+17
241972988.0,82616432.0
210556794.0,1265464230.0
241972988.0,46684860.0
3387188439.0,8.735961100650209e+17
3018587225.0,46684860.0
159110985.0,7.080466587480433e+17
2790442199.0,8.336679601873224e+17
426321629.0,8.892408115854131e+17
24544802.0,853185504.0
24544802.0,243050493.0
24544802.0,1447529352.0
2790442199.0,8.761551739068948e+17
480500298.0,3290370521.0
1578095880.0,376226841.0
2841714842.0,2595978877.0
2841714842.0,7.584487825603297e+17
133005157.0,7.566418850793718e+17
478367964.0,7.594178240624026e+17
361003801.0,9.568632849463173e+17
480500298.0,385962979.0
71613350.0,211990186.0
361003801.0,8.826983478360556e+17
480500298.0,873862188.0
426321629.0,46260456.0
3048173406.0,9.589378641291223e+17
3772895061.0,3082702335.0
21829541.0,749828096.0
1.0527638463211028e+18,2860908597.0
7.90019230389248e+17,7.303924494077993e+17
8.833342309686845e+17,257234986.0
7.90019230389248e+17,9.232773554806907e+17
7.90019230389248e+17,2452466786.0
7.90019230389248e+17,9.561129993154232e+17
7.90019230389248e+17,514711223.0
7.90019230389248e+17,9.502990172960686e+17
7.90019230389248e+17,323666150.0
263943142.0,2611066880.0
2873973494.0,1.0527638463211028e+18
2873973494.0,49776499.0
7.90019230389248e+17,8.939272551011246e+17
45641358.0,3017703114.0
7.90019230389248e+17,211990186.0
7.90019230389248e+17,3870745634.0
7.90019230389248e+17,9.663497341590446e+17
1717701356.0,1581128899.0
7.90019230389248e+17,2860908597.0
1578095880.0,502335393.0
480500298.0,2958832497.0
2790442199.0,211634104.0
3772895061.0,7.581161731542303e+17
3387188439.0,9.562042222819328e+17
8.833342309686845e+17,77248123.0
3772895061.0,295324253.0
24544802.0,1018893332.0
24544802.0,3351788417.0
834256554.0,7.551274957756252e+17
33256484.0,2877712525.0
70320954.0,7.4503462467439e+17
293631912.0,1289848416.0
24544802.0,271138145.0
7.113097504455434e+17,853185504.0
