src,dst
911357186.0,1287018594.0
84741814.0,2305694149.0
249078911.0,7.891451786111263e+17
84741814.0,2305694149.0
54303239.0,1708501928.0
2916011432.0,224481282.0
9.150254370714624e+17,7.987165864546099e+17
4865463921.0,119074969.0
1671136236.0,117322513.0
54303239.0,1708501928.0
4865463921.0,119074969.0
98595881.0,1311194118.0
84741814.0,2305694149.0
4865463921.0,495061709.0
54303239.0,1708501928.0
278570134.0,117322513.0
9.395895211376435e+17,9.404848195695698e+17
9.404848195695698e+17,9.395895211376435e+17
7.156011417493873e+17,3720206656.0
2277422089.0,157232646.0
2277422089.0,157232646.0
7.156011417493873e+17,3720206656.0
7.156011417493873e+17,3720206656.0
2277422089.0,157232646.0
1340093874.0,124322919.0
9.557284609615176e+17,2303580964.0
7.156011417493873e+17,3720206656.0
2277422089.0,157232646.0
1.0192280674520187e+18,9.799677798004163e+17
51654002.0,18479878.0
1340093874.0,124322919.0
7.156011417493873e+17,3720206656.0
7.156011417493873e+17,3720206656.0
1340093874.0,124322919.0
9.557284609615176e+17,2303580964.0
7.156011417493873e+17,3720206656.0
7.156011417493873e+17,3720206656.0
1340093874.0,124322919.0
2277422089.0,157232646.0
9.557284609615176e+17,2303580964.0
1.0192280674520187e+18,9.799677798004163e+17
1340093874.0,124322919.0
1340093874.0,124322919.0
9.557284609615176e+17,2303580964.0
1.0192280674520187e+18,9.799677798004163e+17
2277422089.0,157232646.0
1340093874.0,124322919.0
1340093874.0,124322919.0
9.557284609615176e+17,2303580964.0
2277422089.0,157232646.0
7.156011417493873e+17,3720206656.0
1340093874.0,124322919.0
2277422089.0,157232646.0
2277422089.0,157232646.0
7.156011417493873e+17,3720206656.0
1.0192280674520187e+18,9.799677798004163e+17
7.156011417493873e+17,3720206656.0
7.156011417493873e+17,3720206656.0
1340093874.0,124322919.0
1.0192280674520187e+18,9.799677798004163e+17
2277422089.0,157232646.0
249078911.0,111490382.0
42685467.0,4384892902.0
9.556471317962179e+17,1448020135.0
42685467.0,4384892902.0
42685467.0,4384892902.0
550955977.0,361003801.0
224491023.0,489759395.0
16199232.0,36156490.0
2724404119.0,2882984012.0
84741814.0,2305694149.0
503308612.0,257933772.0
250952665.0,4882408997.0
8.072647733814886e+17,36156490.0
860735617.0,1727374842.0
4236584177.0,47019337.0
248115178.0,109623426.0
25689113.0,475450029.0
3009857120.0,8.21534788884394e+17
3009857120.0,8.21534788884394e+17
3009857120.0,8.21534788884394e+17
3009857120.0,8.21534788884394e+17
3009857120.0,8.21534788884394e+17
3009857120.0,8.21534788884394e+17
43819245.0,621350563.0
17778921.0,3034833471.0
2246898978.0,2363961183.0
2648224170.0,3158410088.0
2513018526.0,2363961183.0
2648224170.0,3158410088.0
7.148875750816072e+17,4910270788.0
2513018526.0,2363961183.0
2648224170.0,3158410088.0
90530589.0,34246019.0
84741814.0,2305694149.0
22378795.0,49415744.0
253092158.0,223896073.0
8.616270973699809e+17,7.601941961750733e+17
1289704663.0,47019337.0
3161660191.0,621350563.0
7.860245197313229e+17,8.659674339197215e+17
27752166.0,98595881.0
239160808.0,8.742956226223677e+17
16634544.0,47019337.0
1967084534.0,212302405.0
212302405.0,1967084534.0
84741814.0,2305694149.0
275068772.0,2790292676.0
26652733.0,375096676.0
433524788.0,2790292676.0
7.935272242258903e+17,375096676.0
7.134457482396754e+17,8.734821704841011e+17
7.991047384700969e+17,7.935272242258903e+17
54303239.0,1708501928.0
7.562721585029734e+17,199056422.0
199056422.0,346860388.0
159110985.0,3415287255.0
9.101031324908831e+17,503308612.0
144222146.0,7.489599559155753e+17
7.10856880680276e+17,144222146.0
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,144222146.0
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,144222146.0
7.10856880680276e+17,7.489599559155753e+17
7.10856880680276e+17,144222146.0
241972988.0,4384892902.0
7.105161793542595e+17,109623426.0
709040768.0,109623426.0
51609807.0,869176992.0
1485202639.0,1977365496.0
51609807.0,19025138.0
