src,dst
19043568.0,506641461.0
3401254649.0,9.015850861804995e+17
407955785.0,19043568.0
634330366.0,3286796496.0
125128428.0,3286796496.0
3291556676.0,175131510.0
634330366.0,1096394166.0
14189931.0,2262620679.0
21283587.0,248024430.0
125128428.0,2415253009.0
1655766132.0,3430474763.0
125128428.0,7.15474256889385e+17
223989188.0,4865974714.0
634330366.0,20998770.0
7.623412586899661e+17,7.541154130347377e+17
3481965513.0,360386911.0
3291556676.0,4645471333.0
19043568.0,860566802.0
3947091915.0,67503749.0
125128428.0,240974612.0
19043568.0,7.767936822048195e+17
125128428.0,33084318.0
19043568.0,220676094.0
3947091915.0,7.541154130347377e+17
3260501809.0,928755127.0
3481965513.0,23332368.0
7.334219307121623e+17,531396192.0
407955785.0,704306828.0
8.12454149912662e+17,2320870573.0
9.76802158623576e+17,4521330855.0
755031012.0,4521330855.0
528627957.0,4521330855.0
7.838292218063135e+17,2965246645.0
3247993823.0,3046903142.0
3247993823.0,3997870336.0
3247993823.0,8.379207906453955e+17
3247993823.0,444449581.0
407955785.0,2178882809.0
851059680.0,1583065752.0
3291556676.0,7.406849387443036e+17
3401254649.0,218090155.0
7.126900512016957e+17,3628257623.0
596329092.0,3628257623.0
81438841.0,4222061685.0
3834777028.0,2991153401.0
70940944.0,4799694132.0
8.12454149912662e+17,2991153401.0
3260501809.0,4799694132.0
2406059855.0,9.37671869444051e+17
2406059855.0,209667075.0
2406059855.0,1.0197272761984983e+18
41830267.0,209667075.0
2406059855.0,540152825.0
2406059855.0,1382852515.0
41830267.0,8.240894553424282e+17
2406059855.0,1.0197272761984983e+18
2406059855.0,9.66501350333825e+17
8.881171390931804e+17,9.63985629607469e+17
2406059855.0,2280896059.0
2406059855.0,40898836.0
2406059855.0,7.575962798662902e+17
2406059855.0,241592876.0
2406059855.0,9.832001862174925e+17
1366429513.0,220676094.0
7.337072786967306e+17,4230384973.0
8.262089432611676e+17,8.775087618286428e+17
3291556676.0,250937927.0
7.891139161021809e+17,4547821336.0
8.066952579161825e+17,4547821336.0
3291556676.0,851059680.0
3401254649.0,4865974714.0
885960937.0,36048547.0
885960937.0,2601445215.0
885960937.0,9.66501350333825e+17
885960937.0,45256733.0
885960937.0,7.110043505130947e+17
885960937.0,757529564.0
1655766132.0,9.115352383917138e+17
7.02773194713772e+17,98416337.0
7.02773194713772e+17,8.813444492421734e+17
61793937.0,7.126900512016957e+17
3481965513.0,7.15474256889385e+17
125128428.0,3247188550.0
3483157934.0,353996180.0
7.623412586899661e+17,2262620679.0
3947091915.0,283664467.0
3481965513.0,3092878870.0
98416337.0,7.805654080760955e+17
915137490.0,4072644732.0
915137490.0,758253864.0
7.15474256889385e+17,4547821336.0
3401254649.0,7.400176772178944e+17
23480929.0,4230384973.0
81438841.0,7.399440552416174e+17
275276082.0,1451828646.0
3481965513.0,3095458611.0
407955785.0,60089996.0
3291556676.0,8.039351616960635e+17
125128428.0,2440969560.0
425418920.0,1172798233.0
407955785.0,21283587.0
1426253114.0,2965246645.0
634330366.0,2212677454.0
634330366.0,4230384973.0
8.262089432611676e+17,8.81522095045333e+17
1493843796.0,4547821336.0
23332368.0,8.827420518839378e+17
118342823.0,3997870336.0
8.092285215833661e+17,2882929383.0
8.541211674053714e+17,8.921309994542572e+17
275276082.0,8.353358412705956e+17
3247993823.0,41977714.0
7.334219307121623e+17,7.13505454027096e+17
275276082.0,8.827420518839378e+17
8.066952579161825e+17,2882929383.0
8.164636857156321e+17,2882929383.0
8.066952579161825e+17,18090080.0
7.126900512016957e+17,8.41867612120318e+17
7.765565584696975e+17,17148456.0
3947091915.0,163861649.0
8.262089432611676e+17,8.881171390931804e+17
3291556676.0,8.232586500809073e+17
125128428.0,87603897.0
8.164636857156321e+17,7.713555441290404e+17
3291556676.0,7.243868799242772e+17
7.34832111891456e+17,2882929383.0
33084318.0,45699453.0
18557659.0,4230384973.0
8.541211674053714e+17,2178882809.0
7.317076018477179e+17,8.2797394484625e+17
7.317076018477179e+17,3628257623.0
